"rank_total","sum_total","sum_mean","sum_median","test_para"
"1",1,36782,36782,36782,16369.8333333333
"2",2,0,0,NA,14348.6666666667
"3",3,30919,10306.3333333333,10285,10306.3333333333
"4",4,451974,50219.3333333333,11502,12746.6666666667
"5",5,45561,15187,21008,15187
"6",6,69501,13900.2,15511,13900.2
"7",7,77301,25767,20984,14589.8125
"8",8,84115,16823,5966,14893.53125
"9",9,429813,53726.625,8312,14232.515625
"10",10,81429,13571.5,13844.5,13571.5
"11",11,57923,9653.83333333333,6946,9653.83333333333
"12",12,142281,17785.125,15869.5,8444.20833333333
"13",13,86815,7234.58333333333,3995.5,8615.60874368687
"14",14,71494,7943.77777777778,7183,8787.0091540404
"15",15,61848,6872,8219,9380.02525252525
"16",16,118979,10816.2727272727,4328,10816.2727272727
"17",17,72318,9039.75,9225.5,9039.75
"18",18,97511,13930.1428571429,10385,13930.1428571429
"19",19,101052,7773.23076923077,6895,13360.5214285714
"20",20,255818,12790.9,8385.5,12790.9
"21",21,111998,11199.8,7832.5,11199.8
"22",22,295103,18443.9375,7804.5,12226.7834541063
"23",23,354252,17712.6,8393,13253.7669082126
"24",24,383500,16673.9130434783,8828,12051.3338164251
"25",25,153677,8537.61111111111,6805.5,8537.61111111111
"26",26,237402,9496.08,8448,9496.08
"27",27,140181,6675.28571428571,6133,10630.3127272727
"28",28,258820,11764.5454545455,8213,11764.5454545455
"29",29,549807,24991.2272727273,8991.5,13912.5923295455
"30",30,608976,22554.6666666667,9191,13147.8500828598
"31",31,528694,22028.9166666667,7310.5,12383.1078361742
"32",32,247898,10329.0833333333,5917,10329.0833333333
"33",33,349730,12490.3571428571,6601,12490.3571428571
"34",34,346713,14446.375,6807,14446.375
"35",35,5297439,211897.56,8125,42874.5040178571
"36",36,5260659,175355.3,4990,45289.4662946429
"37",37,1335724,47704.4285714286,5422,47704.4285714286
"38",38,5299911,189282.535714286,5224,54730.5599888393
"39",39,2860335,136206.428571429,5585,61756.69140625
"40",40,10258397,366371.321428571,4911.5,58878.9587053571
"41",41,1445766,49854,5816,73308.2734703256
"42",42,5005101,294417.705882353,3703,87737.5882352941
"43",43,4830086,284122.705882353,5828,125621.176470588
"44",44,1853588,84254,4807,84254
"45",45,9509358,594334.875,30070,125266.523809524
"46",46,3491860,166279.047619048,11046,174208.932806777
"47",47,11074603,395521.535714286,9635,174082.893367185
"48",48,4833625,185908.653846154,4326.5,173956.853927594
"49",49,8717532,458817.473684211,4384,171679.490502661
"50",50,5459498,209980.692307692,6351.5,167011.767094017
"51",51,4898839,136078.861111111,6951,136078.861111111
"52",52,814657,38793.1904761905,5626,125245.82710728
"53",53,3317971,114412.793103448,5826,114412.793103448
"54",54,3180651,85963.5405405405,4177,130822.064512087
"55",55,11015627,423677.961538462,23149.5,147231.335920725
"56",56,5065473,281415.166666667,26456.5,141765.796719637
"57",57,7366787,216670.205882353,5109,136300.257518548
"58",58,2462305,72420.7352941177,7924.5,108577.44894644
"59",59,10575086,311031.941176471,5063,119671.393128182
"60",60,2946522,89288.5454545455,5641,130765.337309924
"61",61,5040528,162597.677419355,4061,118409.245578039
"62",62,2757382,106053.153846154,4555,106053.153846154
"63",63,2834044,118085.166666667,2743,118085.166666667
"64",64,1011253,38894.3461538462,3841,115909.265012255
"65",65,1406152,41357.4117647059,4050.5,113733.363357843
"66",66,2363927,147745.4375,10936.5,128773.866053922
"67",67,6299665,203215,2939,134328.583026961
"68",68,892995,24805.4166666667,4868.5,127640.672069036
"69",69,1913790,76551.6,2889,120952.761111111
"70",70,1836400,102022.222222222,3051,117849.519444444
"71",71,1443453,60143.875,2038,114746.277777778
