"rank_total","sum_total","sum_mean","sum_median","test_para"
1,1051048,65690.5,38701,65690.5
2,5368625,105267.156862745,82225,105267.156862745
3,2691398,107655.92,31548,107655.92
4,1384054,60176.2608695652,32398,60176.2608695652
5,931093,58193.3125,29284.5,58193.3125
6,1054859,75347.0714285714,23958.5,75347.0714285714
7,1572504,78625.2,22972.5,78625.2
8,798704,79870.4,46190,79870.4
9,246208,30776,25859.5,30776
10,935145,85013.1818181818,31631,85013.1818181818
11,1406064,93737.6,25364,93737.6
12,7309931,456870.6875,27404,128465.542441404
13,7234811,516772.214285714,26944,126298.880590527
14,3805625,634270.833333333,134723.5,124132.21873965
15,3455332,431916.5,25623,108800.79591807
16,89693,17938.6,13624,76683.1979590348
17,445656,44565.6,22238.5,44565.6
18,94487,18897.4,22213,71985.9
19,497031,99406.2,12964,99406.2
20,122836,30709,13746.5,66658.35
21,924632,308210.666666667,416793,66740.5421875
22,148448,37112,24513.5,66822.734375
23,3964257,566322.428571429,38470,69876
24,615840,102640,42702,102640
25,139186,46395.3333333333,18500,92341.8020833333
26,27000,13500,13500,82043.6041666667
27,941535,117691.875,26030.5,117691.875
28,507886,101577.2,18934,101577.2
29,46905,23452.5,23452.5,110675.85
30,820665,273555,336708,119774.5
31,432193,216096.5,216096.5,124795.083333333
32,389447,129815.666666667,13352,129815.666666667
33,586152,97692,28866,97692
34,1175109,167872.714285714,83420,130441.657738095
35,435106,217553,217553,126206.484002976
36,3738958,747791.6,25323,121971.310267857
37,596801,99466.8333333333,35995.5,99466.8333333333
38,411949,82389.8,11430,82389.8
39,0,0,NA,104133.525
40,1007018,125877.25,29857,125877.25
41,650849,216949.666666667,312271,73894.375
42,43823,21911.5,21911.5,60057.03125
43,0,0,NA,46219.6875
44,21233,10616.5,10616.5,70527.875
45,499167,124791.75,96621.5,124791.75
46,1617420,808710,808710,146074.0734375
47,2282118,456423.6,312856,167356.396875
48,1118124,159732,35073,159732
49,1511431,302286.2,160772,95553.5
50,31375,31375,31375,83697.50390625
51,36956,36956,36956,84487.5043945312
52,4040355,1346785,325203,85277.5048828125
53,0,0,NA,89992.125
54,2826211,471035.166666667,31216,161506.25
55,1938075,323012.5,81252.5,323012.5
56,3124836,347204,55422,502931.159090909
57,7511348,682849.818181818,37857,503303.7109375
58,2558792,1279396,1279396,499401.35546875
59,2972994,495499,187707.5,495499
60,9239380,769948.333333333,766738.5,466680.75
61,1367052,683526,683526,437862.5
62,1144850,286212.5,53677,417802.671875
63,5293611,661701.375,270885.5,397742.84375
64,1332702,666351,666351,509273.1875
65,2141070,356845,47802.5,446200.770833333
66,6867230,981032.857142857,977902,383128.354166667
67,1043806,347935.333333333,40310,409411.708333333
68,59104,29552,29552,466433.25
69,3509587,584931.166666667,492818,584931.166666667
70,1671971,278661.833333333,43830.5,506310.822916667
71,103834,34611.3333333333,33686,541514.973958333
72,4613753,576719.125,543055.5,576719.125
73,1765145,882572.5,882572.5,545259.160267857
74,2299041,328434.428571429,266921,560140.387276786
75,4343799,1447933,1230775,575021.614285714
76,4108044,821608.8,46727,600280.807142857
77,3127700,625540,360997,625540
78,3585747,448218.375,125471.5,833623.428571429
79,7291948,1041706.85714286,1143980,1041706.85714286
80,2380149,793383,1077369,793383
81,8573550,1428925,1050028.5,979067.356026786
82,6246357,1561589.25,1452759.5,995019.072405134
83,10624492,1517784.57142857,1320356,1010970.78878348
84,3825597,956399.25,1024390,956399.25
85,11530797,1281199.66666667,1068893,1010801.55625
86,7102002,1183667,1138520,1065203.8625
87,5301873,1060374.6,1092538,1060374.6
