date,productid,active_ios
2014-05-09,3017057,11.0
2014-05-10,3017057,1.0
2014-05-12,3017057,10.0
2014-05-13,3017057,18.0
2014-05-14,3017057,17.0
2014-05-15,3017057,18.0
2014-05-16,3017057,18.0
2014-05-19,3017057,29.0
2014-05-20,3017057,25.0
2014-05-21,3017057,27.0
2014-05-22,3017057,27.0
2014-05-23,3017057,23.0
2014-05-24,3017057,12.0
2014-05-25,3017057,8.0
2014-05-26,3017057,34.0
2014-05-27,3017057,26.0
2014-05-28,3017057,35.0
2014-05-29,3017057,62.0
2014-05-30,3017057,57.0
2014-05-31,3017057,15.0
2014-06-01,3017057,13.0
2014-06-02,3017057,12.0
2014-06-03,3017057,3878.0
2014-06-04,3017057,159043.0
2014-06-05,3017057,564888.0
