"rank_total","sum_total","sum_mean","sum_median","test_para","predict_vector"
1,1051048,65690.5,38701,65690.5,65690.5
2,5368625,105267.156862745,82225,105267.156862745,105267.156862745
3,2691398,107655.92,31548,107655.92,107655.92
4,1384054,60176.2608695652,32398,60176.2608695652,60176.2608695652
5,931093,58193.3125,29284.5,58193.3125,58193.3125
6,1054859,75347.0714285714,23958.5,75347.0714285714,75347.0714285714
7,1572504,78625.2,22972.5,78625.2,78625.2
8,798704,79870.4,46190,79870.4,79870.4
9,246208,30776,25859.5,30776,30776
10,935145,85013.1818181818,31631,85013.1818181818,22298.7453103462
11,1406064,93737.6,25364,93737.6,23879.4841114502
12,7309931,456870.6875,27404,128465.542441404,25236.0511010137
13,7234811,516772.214285714,26944,126298.880590527,26682.2969072581
14,3805625,634270.833333333,134723.5,124132.21873965,28224.2971808214
15,3455332,431916.5,25623,108800.79591807,29868.460633623
16,89693,17938.6,13624,76683.1979590348,31621.5356545148
17,445656,44565.6,22238.5,44565.6,33490.6156849264
18,94487,18897.4,22213,71985.9,35483.1431886519
19,497031,99406.2,12964,99406.2,37606.9120441785
20,122836,30709,13746.5,66658.35,39870.0681832127
21,924632,308210.666666667,416793,66740.5421875,42281.1082954606
22,148448,37112,24513.5,66822.734375,44848.8764174211
23,3964257,566322.428571429,38470,69876,47582.5582221117
24,615840,102640,42702,102640,50491.6728274093
25,139186,46395.3333333333,18500,92341.8020833333,54383.6045257941
26,27000,13500,13500,82043.6041666667,58597.3202102687
27,941535,117691.875,26030.5,117691.875,62199.9383954504
28,507886,101577.2,18934,101577.2,66024.5922956007
29,46905,23452.5,23452.5,110675.85,70082.3610695742
30,820665,273555,336708,119774.5,74384.5317729821
31,432193,216096.5,216096.5,124795.083333333,78942.56733259
32,389447,129815.666666667,13352,129815.666666667,83768.0708023563
33,586152,97692,28866,97692,88872.7458305153
34,1175109,167872.714285714,83420,130441.657738095,94268.3532915145
35,435106,217553,217553,126206.484002976,99966.6640634877
36,3738958,747791.6,25323,121971.310267857,105979.407961203
37,596801,99466.8333333333,35995.5,99466.8333333333,112318.21886598
38,411949,82389.8,11430,82389.8,118994.576127769
39,0,0,NA,104133.525,126019.742350247
40,1007018,125877.25,29857,125877.25,135296.749767887
41,650849,216949.666666667,312271,73894.375,145179.872074262
42,43823,21911.5,21911.5,60057.03125,153509.854572768
43,0,0,NA,46219.6875,162234.810174231
44,21233,10616.5,10616.5,70527.875,171363.553117856
45,499167,124791.75,96621.5,124791.75,180904.202363027
46,1617420,808710,808710,146074.0734375,190864.099750275
47,2282118,456423.6,312856,167356.396875,201249.727098214
48,1118124,159732,35073,159732,212066.622729511
49,1511431,302286.2,160772,95553.5,223319.297955984
50,31375,31375,31375,83697.50390625,235011.154087486
51,36956,36956,36956,84487.5043945312,247144.400560929
52,4040355,1346785,325203,85277.5048828125,259719.974814035
53,0,0,NA,89992.125,272737.464552764
54,2826211,471035.166666667,31216,161506.25,286195.033081264
55,1938075,323012.5,81252.5,323012.5,303617.17568868
56,3124836,347204,55422,502931.159090909,321738.573990274
57,7511348,682849.818181818,37857,503303.7109375,336699.779696605
58,2558792,1279396,1279396,499401.35546875,352073.382792839
