"rank_total","sum_total","sum_mean","sum_median","test_para"
1,457558,28597.375,13298.5,28597.375
2,2163809,42427.6274509804,10375,42427.6274509804
3,998327,39933.08,6848,39933.08
4,567967,24694.2173913043,6688,24694.2173913043
5,341485,21342.8125,5578.5,21342.8125
6,411560,29397.1428571429,6268,29397.1428571429
7,747205,37360.25,7310,37360.25
8,198595,19859.5,5745.5,19859.5
9,39616,4952,4001,4952
10,468646,42604.1818181818,6227,42604.1818181818
11,774298,51619.8666666667,5264,51619.8666666667
12,5349238,334327.375,6340.5,81645.8122345222
13,5255299,375378.5,8519.5,85001.0684658159
14,2674777,445796.166666667,50455,88356.3246971096
15,2697513,337189.125,3752,80260.7452216168
16,21027,4205.4,3354,4205.4
17,37050,3705,3659.5,3705
18,14781,2956.2,2791,13611.4
19,117589,23517.8,1525,23517.8
20,12003,3000.75,3107,3000.75
21,307046,102348.666666667,148687,5257.25
22,30055,7513.75,4957,7513.75
23,2598761,371251.571428571,3846,25824.7916666667
24,264815,44135.8333333333,33042.5,44135.8333333333
25,36044,12014.6666666667,1869,12014.6666666667
26,4164,2082,2082,26307.0833333333
27,324796,40599.5,2279,40599.5
28,197111,39422.2,3030,39422.2
29,11742,5871,5871,5871
30,216393,72131,81228,29762.5
31,107308,53654,53654,40198.5833333333
32,151904,50634.6666666667,6320,43527.4583333333
33,281138,46856.3333333333,1637.5,43993.1041666667
34,367068,52438.2857142857,34565,44458.75
35,101480,50740,50740,42061.1666666667
36,2606744,521348.8,13938,35324.1666666667
37,119450,19908.3333333333,1455.5,19908.3333333333
38,110406,22081.2,1343,22081.2
39,0,0,NA,24846.475
40,220894,27611.75,3331.5,27611.75
41,200996,66998.6666666667,67825,15220.375
42,5658,2829,2829,2829
43,0,0,NA,2834.25
44,5679,2839.5,2839.5,2839.5
45,197280,49320,20740.5,49320
46,421506,210753,210753,52505.0964285714
47,435381,87076.2,62053,55690.1928571429
48,302276,43182.2857142857,34910,43182.2857142857
49,315799,63159.8,44998,35879.9389880952
50,580,580,580,35576.990327381
51,990,990,990,47344.7511160714
52,2665867,888622.333333333,69215,59112.5119047619
53,0,0,NA,50486.5892857143
54,2340771,390128.5,4652.5,51076.2390873016
55,502328,83721.3333333333,15360,51665.8888888889
56,553240,61471.1111111111,1188,73686.2424045139
57,2979537,270867,952,74836.6211276584
58,386383,193191.5,193191.5,75101.8938971625
59,452203,75367.1666666667,38470,75367.1666666667
60,1458476,121539.666666667,114854.5,68719.8541666667
61,172929,86464.5,86464.5,62072.5416666667
62,172917,43229.25,16071.5,59064.2083333333
63,2675281,334410.125,49848,56055.875
64,137765,68882.5,68882.5,68882.5
65,367729,61288.1666666667,17020.5,61288.1666666667
66,2777389,396769.857142857,128261,57852.4791666667
67,136157,45385.6666666667,801,54416.7916666667
68,1681,840.5,840.5,55496.6666666667
69,393646,65607.6666666667,58208,65607.6666666667
70,162639,27106.5,901.5,63111.1770833333
71,1860,620,548,60614.6875
72,752983,94122.875,57152,65022.8482142857
73,926397,463198.5,463198.5,69431.0089285714
74,313174,44739.1428571429,38718,67453.3669642857
75,2414294,804764.666666667,157613,65475.725
76,2370856,474171.2,900,66814.3625
77,340765,68153,85306,68153
78,374565,46820.625,24248,46820.625
79,734880,104982.857142857,91570,104982.857142857
80,204449,68149.6666666667,91208,68149.6666666667
81,4868792,811465.333333333,93717,138532.73397702
82,2598171,649542.75,169169,208915.801287373
83,5088781,726968.714285714,114546,208838.180699746
84,1087512,271878,108136.5,208617.024017334
85,4945159,549462.111111111,87557,194033.5
86,697134,116189,89531,116189
87,1377398,275479.6,90843,64528.3333333333
88,38603,12867.6666666667,660,12867.6666666667
89,3007488,429641.142857143,113408,34261.7083333333
90,445246,55655.75,19656.5,55655.75
91,130457,43485.6666666667,523,43485.6666666667
92,451288,90257.6,128550,90257.6
93,2393234,398872.333333333,39890,75514.6333333333
94,182315,60771.6666666667,33166,60771.6666666667
95,2495522,831840.666666667,97972,119122.964285714
96,3776974,539567.714285714,130714,177474.261904762
97,328673,54778.8333333333,66354,54778.8333333333
98,9039119,1004346.55555556,160971,49787.5166666667
99,223981,44796.2,17746,44796.2
100,143399,35849.75,40752,35849.75
101,4419873,1104968.25,1110140,180521.75764974
102,2594748,648687,140091.5,244320.456624349
103,2468534,822844.666666667,170183,235469.542765299
104,4584185,916837,75743,226618.62890625
105,84346,42173,42173,198679.481119792
106,512221,170740.333333333,194451,170740.333333333
107,2267501,377916.833333333,47202,167547.738095238
108,1150486,164355.142857143,91344,164355.142857143
109,2987158,426736.857142857,61904,176801.058035714
110,342335,114111.666666667,102178,189246.973214286
111,2184978,728326,94217,239260.541666667
112,2473883,618470.75,154612,221499.916666667
113,4753775,1188443.75,1297098,203739.291666667
114,426338,106584.5,99081,214073.699404762
115,2443652,407275.333333333,91942.5,224408.107142857
116,2395622,342231.714285714,72927,160590.303571429
117,774180,96772.5,86618,182820.151785714
118,410100,205050,205050,205050
119,439071,87814.2,84596,156146.8
120,2610743,326342.875,96456,197548.215909091
121,1140057,126673,84528,175668.015909091
122,3701383,336489.363636364,125148,153787.815909091
123,205878,68626,101689,155566.479383117
124,1101416,157345.142857143,67482,157345.142857143
125,473473,94694.6,107779,94694.6
126,4420943,552617.875,108476.5,94324.0662183973
127,148891,37222.75,33264,94279.8997921414
128,328572,82143,85060,94235.7333658854
129,2347680,335382.857142857,71671,97701.4444444444
130,1019339,113259.888888889,92703,113259.888888889
131,2740090,210776.153846154,58418,124106.08072708
